# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff
P2U-Bardon-LWS02;600;2022-05-02 06:20:01 UTC;0.58;5410.61;185845.27;0.01;188543.59;0.00;0.00;0.00;0.00
P2U-Bardon-LWS02;599;2022-05-02 06:30:01 UTC;217.04;5417.33;185912.19;0.01;188098.80;0.00;0.00;0.00;0.00
P2U-Bardon-LWS02;600;2022-05-02 06:40:01 UTC;5.03;4594.23;185831.37;0.03;188314.24;0.00;0.00;0.00;0.00
P2U-Bardon-LWS02;600;2022-05-02 06:50:01 UTC;7.96;5325.93;185282.03;0.09;187877.58;8.75;0.00;0.00;0.00
P2U-Bardon-LWS02;601;2022-05-02 07:00:01 UTC;9.16;5435.57;186415.79;0.13;194718.57;2.35;534.95;65.15;12.13
P2U-Bardon-LWS02;599;2022-05-02 07:10:01 UTC;2.34;5915.05;185343.96;0.04;188083.32;0.00;0.00;0.00;0.00
P2U-Bardon-LWS02;600;2022-05-02 07:20:01 UTC;1235.85;5464.85;187601.60;0.02;189665.26;329.14;0.00;133.13;40.45
P2U-Bardon-LWS02;600;2022-05-02 07:30:01 UTC;0.81;5140.32;185597.26;0.01;187900.11;2.91;0.00;2.91;100.00
P2U-Bardon-LWS02;600;2022-05-02 07:40:01 UTC;20.32;5596.90;185015.53;0.02;187802.60;96.85;9.22;100.80;95.03
P2U-Bardon-LWS02;600;2022-05-02 07:50:01 UTC;0.79;5645.08;185134.88;0.01;187826.39;10.89;0.00;10.53;96.65
P2U-Bardon-LWS02;601;2022-05-02 08:00:02 UTC;5.83;5314.24;185290.79;0.18;193779.28;0.00;1782.25;314.11;17.62
P2U-Bardon-LWS02;599;2022-05-02 08:10:01 UTC;3.11;5491.23;185183.44;0.07;187755.08;0.00;0.00;0.00;0.00
P2U-Bardon-LWS02;600;2022-05-02 08:20:01 UTC;6.48;5679.96;185202.39;0.08;187790.93;0.00;0.00;0.00;0.00
P2U-Bardon-LWS02;601;2022-05-02 08:30:01 UTC;2.78;5120.76;185199.62;0.03;187480.64;0.00;0.00;0.00;0.00
P2U-Bardon-LWS02;600;2022-05-02 08:40:01 UTC;36.93;5632.04;184965.03;0.01;187637.96;0.00;0.00;0.00;0.00
P2U-Bardon-LWS02;600;2022-05-02 08:50:01 UTC;0.29;5527.71;185265.89;0.00;187874.44;0.00;0.00;0.00;0.00
P2U-Bardon-LWS02;600;2022-05-02 09:00:01 UTC;4.07;5429.08;185418.53;0.08;193784.47;0.00;663.43;100.70;15.18
P2U-Bardon-LWS02;600;2022-05-02 09:10:01 UTC;2.97;5620.75;185334.26;0.06;187955.13;0.00;0.00;0.00;0.00
P2U-Bardon-LWS02;600;2022-05-02 09:20:01 UTC;9.55;5332.32;184966.74;0.09;187625.67;0.00;0.00;0.00;0.00
P2U-Bardon-LWS02;599;2022-05-02 09:30:01 UTC;0.59;5090.53;185827.71;0.01;188044.88;0.00;0.00;0.00;0.00
P2U-Bardon-LWS02;600;2022-05-02 09:40:01 UTC;38.41;5674.00;185030.74;0.16;187684.27;0.00;0.00;0.00;0.00
